,origin,dest,line
2366,R32-R-S,R33-R-S,R
2367,R34-R-S,R33-R-S,R
2368,R34-R-S,R35-R-S,R
2369,R35-R-S,R36-R-S,R
2370,R36-R-S,R41-R-S,R
2371,R36-R-S,R31-R-S,R
2372,R39-R-S,R40-R-S,R
2373,R39-R-S,R36-R-S,R
2374,R41-R-S,R42-R-S,R
2375,R41-R-S,R40-R-S,R
2376,R43-R-S,R44-R-S,R
2377,R43-R-S,R42-R-S,R
2378,R45-R-S,R44-R-S,R
2379,L02-L-S,L01-L-S,L
2380,L03-L-S,L02-L-S,L
2381,L05-L-S,L03-L-S,L
2382,L06-L-S,L05-L-S,L
2383,L08-L-S,L10-L-S,L
2384,L08-L-S,L06-L-S,L
2385,L10-L-S,L11-L-S,L
2386,L11-L-S,L12-L-S,L
2387,L12-L-S,L13-L-S,L
2388,L14-L-S,L15-L-S,L
2389,L14-L-S,L13-L-S,L
2390,L15-L-S,L16-L-S,L
2391,L16-L-S,L17-L-S,L
2392,L19-L-S,L20-L-S,L
2393,L19-L-S,L17-L-S,L
2394,L21-L-S,L22-L-S,L
2395,L21-L-S,L20-L-S,L
2396,L22-L-S,L24-L-S,L
2397,L25-L-S,L24-L-S,L
2398,L26-L-S,L25-L-S,L
2399,L26-L-S,L27-L-S,L
2400,L28-L-S,L27-L-S,L
2401,L29-L-S,L28-L-S,L
2402,R01-W-S,R03-W-S,W
2403,R03-W-S,R04-W-S,W
2404,R05-W-S,R06-W-S,W
2405,R05-W-S,R04-W-S,W
2406,R06-W-S,R08-W-S,W
2407,R09-W-S,R08-W-S,W
2408,R09-W-S,R11-W-S,W
2409,R13-W-S,R11-W-S,W
2410,R14-W-S,R13-W-S,W
2411,R14-W-S,R15-W-S,W
2412,R16-W-S,R17-W-S,W
2413,R16-W-S,R14-W-S,W
2414,R16-W-S,R15-W-S,W
2415,R17-W-S,R20-W-S,W
2416,R17-W-S,R18-W-S,W
2417,R18-W-S,R19-W-S,W
2418,R19-W-S,R20-W-S,W
2419,R21-W-S,R20-W-S,W
2420,R22-W-S,R21-W-S,W
2421,R23-W-S,R22-W-S,W
2422,R24-W-S,R23-W-S,W
2423,R25-W-S,R24-W-S,W
2424,R26-W-S,R25-W-S,W
2425,R27-W-S,R26-W-S,W
2426,103-1-N,104-1-N,1
2427,103-1-N,101-1-N,1
2428,106-1-N,104-1-N,1
2429,106-1-N,107-1-N,1
2430,108-1-N,109-1-N,1
2431,108-1-N,107-1-N,1
2432,109-1-N,110-1-N,1
2433,111-1-N,112-1-N,1
2434,111-1-N,110-1-N,1
2435,113-1-N,112-1-N,1
2436,114-1-N,113-1-N,1
2437,115-1-N,114-1-N,1
2438,115-1-N,116-1-N,1
2439,117-1-N,118-1-N,1
2440,117-1-N,116-1-N,1
2441,119-1-N,118-1-N,1
2442,120-1-N,121-1-N,1
2443,120-1-N,119-1-N,1
2444,120-1-N,123-1-N,1
2445,121-1-N,122-1-N,1
2446,122-1-N,123-1-N,1
2447,123-1-N,127-1-N,1
2448,123-1-N,124-1-N,1
2449,124-1-N,125-1-N,1
2450,125-1-N,126-1-N,1
2451,126-1-N,127-1-N,1
2452,127-1-N,128-1-N,1
2453,128-1-N,129-1-N,1
2454,130-1-N,129-1-N,1
2455,131-1-N,130-1-N,1
2456,132-1-N,128-1-N,1
2457,132-1-N,131-1-N,1
2458,132-1-N,137-1-N,1
2459,133-1-N,134-1-N,1
2460,133-1-N,132-1-N,1
2461,135-1-N,134-1-N,1
2462,136-1-N,135-1-N,1
2463,137-1-N,138-1-N,1
2464,137-1-N,136-1-N,1
2465,139-1-N,140-1-N,1
2466,139-1-N,138-1-N,1
2467,120-2-N,227-2-N,2
2468,120-2-N,123-2-N,2
2469,123-2-N,127-2-N,2
2470,127-2-N,128-2-N,2
2471,132-2-N,128-2-N,2
2472,132-2-N,137-2-N,2
2473,137-2-N,228-2-N,2
2474,201-2-N,204-2-N,2
2475,205-2-N,204-2-N,2
2476,205-2-N,206-2-N,2
2477,207-2-N,208-2-N,2
2478,207-2-N,206-2-N,2
2479,209-2-N,208-2-N,2
