,station_id,station_line,boro,lines,long,name,Complex ID,lat,line_,dir,pf_id,node_id
1134,D13,2,M,B D,-73.94361599999999,145 St,151,40.825382999999995,D,N,D13-D-N,D13-D-N
1135,D14,1,M,B D E,-73.981637,7 Av,277,40.764061999999996,B,N,D14-B-N,D14-B-N
1136,D14,2,M,B D E,-73.981037,7 Av,277,40.763462,D,N,D14-D-N,D14-D-N
1137,D14,3,M,B D E,-73.981637,7 Av,277,40.762862,E,N,D14-E-N,D14-E-N
1138,D15,1,M,B D F M,-73.981329,47-50 Sts - Rockefeller Ctr,225,40.759862999999996,B,N,D15-B-N,D15-B-N
1139,D15,2,M,B D F M,-73.980729,47-50 Sts - Rockefeller Ctr,225,40.759263,D,N,D15-D-N,D15-D-N
1140,D15,3,M,B D F M,-73.981329,47-50 Sts - Rockefeller Ctr,225,40.758663,F,N,D15-F-N,D15-F-N
1141,D15,4,M,B D F M,-73.98192900000001,47-50 Sts - Rockefeller Ctr,225,40.759263,M,N,D15-M-N,D15-M-N
1142,D16,1,M,B D F M,-73.984569,42 St - Bryant Pk,609,40.755421999999996,B,N,D16-B-N,D16-B-N
1143,D16,2,M,B D F M,-73.98396899999999,42 St - Bryant Pk,609,40.754822,D,N,D16-D-N,D16-D-N
1144,D16,3,M,B D F M,-73.984569,42 St - Bryant Pk,609,40.754222,F,N,D16-F-N,D16-F-N
1145,D16,4,M,B D F M,-73.985169,42 St - Bryant Pk,609,40.754822,M,N,D16-M-N,D16-M-N
1146,D17,1,M,B D F M,-73.987823,34 St - Herald Sq,607,40.750918999999996,B,N,D17-B-N,D17-B-N
1147,D17,2,M,B D F M,-73.987223,34 St - Herald Sq,607,40.750319,D,N,D17-D-N,D17-D-N
1148,D17,3,M,B D F M,-73.987823,34 St - Herald Sq,607,40.749719,F,N,D17-F-N,D17-F-N
1149,D17,4,M,B D F M,-73.98842300000001,34 St - Herald Sq,607,40.750319,M,N,D17-M-N,D17-M-N
1150,D18,1,M,F M,-73.992821,23 St,228,40.744077999999995,F,N,D18-F-N,D18-F-N
1151,D18,2,M,F M,-73.992221,23 St,228,40.743477999999996,M,N,D18-M-N,D18-M-N
1152,D19,1,M,F M,-73.996209,14 St,601,40.739428,F,N,D19-F-N,D19-F-N
1153,D19,2,M,F M,-73.99560899999999,14 St,601,40.738828,M,N,D19-M-N,D19-M-N
1154,D20,1,M,B D F M,-74.000495,W 4 St,167,40.733537999999996,B,N,D20-B-N,D20-B-N
1155,D20,2,M,B D F M,-73.999895,W 4 St,167,40.732938,D,N,D20-D-N,D20-D-N
1156,D20,3,M,B D F M,-74.000495,W 4 St,167,40.732338,F,N,D20-F-N,D20-F-N
1157,D20,4,M,B D F M,-74.001095,W 4 St,167,40.732938,M,N,D20-M-N,D20-M-N
1158,D21,1,M,B D F M,-73.996204,Broadway-Lafayette St,619,40.726496999999995,B,N,D21-B-N,D21-B-N
1159,D21,2,M,B D F M,-73.995604,Broadway-Lafayette St,619,40.725896999999996,D,N,D21-D-N,D21-D-N
1160,D21,3,M,B D F M,-73.996204,Broadway-Lafayette St,619,40.725297,F,N,D21-F-N,D21-F-N
1161,D21,4,M,B D F M,-73.99680400000001,Broadway-Lafayette St,619,40.725896999999996,M,N,D21-M-N,D21-M-N
1162,D22,1,M,B D,-73.993753,Grand St,231,40.719466999999995,B,N,D22-B-N,D22-B-N
1163,D22,2,M,B D,-73.99315299999999,Grand St,231,40.718866999999996,D,N,D22-D-N,D22-D-N
1164,D24,1,Bk,B Q,-73.97689,Atlantic Av - Barclays Ctr,617,40.68566,B,N,D24-B-N,D24-B-N
1165,D24,2,Bk,B Q,-73.97628999999999,Atlantic Av - Barclays Ctr,617,40.68506,Q,N,D24-Q-N,D24-Q-N
1166,D25,1,Bk,B Q,-73.972367,7 Av,41,40.67825,B,N,D25-B-N,D25-B-N
1167,D25,2,Bk,B Q,-73.971767,7 Av,41,40.67765,Q,N,D25-Q-N,D25-Q-N
1168,D26,1,Bk,B Q,-73.962246,Prospect Park,42,40.662814,B,N,D26-B-N,D26-B-N
1169,D26,2,Bk,B Q,-73.96164599999999,Prospect Park,42,40.662214,Q,N,D26-Q-N,D26-Q-N
1170,D27,1,Bk,B Q,-73.961495,Parkside Av,43,40.656492,B,N,D27-B-N,D27-B-N
1171,D27,2,Bk,B Q,-73.960895,Parkside Av,43,40.655892,Q,N,D27-Q-N,D27-Q-N
1172,D28,1,Bk,B Q,-73.962982,Church Av,44,40.651726999999994,B,N,D28-B-N,D28-B-N
1173,D28,2,Bk,B Q,-73.96238199999999,Church Av,44,40.651126999999995,Q,N,D28-Q-N,D28-Q-N
1174,D29,1,Bk,B Q,-73.964492,Beverley Rd,45,40.645230999999995,B,N,D29-B-N,D29-B-N
1175,D29,2,Bk,B Q,-73.963892,Beverley Rd,45,40.644631,Q,N,D29-Q-N,D29-Q-N
1176,D30,1,Bk,B Q,-73.963891,Cortelyou Rd,46,40.642126999999995,B,N,D30-B-N,D30-B-N
1177,D30,2,Bk,B Q,-73.963291,Cortelyou Rd,46,40.641526999999996,Q,N,D30-Q-N,D30-Q-N
1178,D31,1,Bk,B Q,-73.962793,Newkirk Plaza,47,40.636281999999994,B,N,D31-B-N,D31-B-N
1179,D31,2,Bk,B Q,-73.962193,Newkirk Plaza,47,40.635681999999996,Q,N,D31-Q-N,D31-Q-N
1180,D32,1,Bk,B Q,-73.961639,Avenue H,48,40.630469999999995,B,N,D32-B-N,D32-B-N
1181,D32,2,Bk,B Q,-73.961039,Avenue H,48,40.62987,Q,N,D32-Q-N,D32-Q-N
1182,D33,1,Bk,B Q,-73.960803,Avenue J,49,40.626239,B,N,D33-B-N,D33-B-N
1183,D33,2,Bk,B Q,-73.96020299999999,Avenue J,49,40.625639,Q,N,D33-Q-N,D33-Q-N
1184,D34,1,Bk,B Q,-73.959399,Avenue M,50,40.618818,B,N,D34-B-N,D34-B-N
1185,D34,2,Bk,B Q,-73.958799,Avenue M,50,40.618218,Q,N,D34-Q-N,D34-Q-N
1186,D35,1,Bk,B Q,-73.957734,Kings Hwy,51,40.609869999999994,B,N,D35-B-N,D35-B-N
1187,D35,2,Bk,B Q,-73.957134,Kings Hwy,51,40.609269999999995,Q,N,D35-Q-N,D35-Q-N
1188,D37,1,Bk,B Q,-73.955929,Avenue U,52,40.6005,B,N,D37-B-N,D37-B-N
1189,D37,2,Bk,B Q,-73.95532899999999,Avenue U,52,40.5999,Q,N,D37-Q-N,D37-Q-N
1190,D38,1,Bk,B Q,-73.955161,Neck Rd,53,40.596446,B,N,D38-B-N,D38-B-N
1191,D38,2,Bk,B Q,-73.954561,Neck Rd,53,40.595846,Q,N,D38-Q-N,D38-Q-N
1192,D39,1,Bk,B Q,-73.954155,Sheepshead Bay,54,40.588096,B,N,D39-B-N,D39-B-N
1193,D39,2,Bk,B Q,-73.953555,Sheepshead Bay,54,40.587496,Q,N,D39-Q-N,D39-Q-N
1194,D40,1,Bk,B Q,-73.961376,Brighton Beach,55,40.578821,B,N,D40-B-N,D40-B-N
1195,D40,2,Bk,B Q,-73.960776,Brighton Beach,55,40.578221,Q,N,D40-Q-N,D40-Q-N
1196,D41,1,Bk,Q,-73.968501,Ocean Pkwy,56,40.577512,Q,N,D41-Q-N,D41-Q-N
1197,D42,1,Bk,F Q,-73.975939,W 8 St - NY Aquarium,57,40.577327,F,N,D42-F-N,D42-F-N
1198,D42,2,Bk,F Q,-73.97533899999999,W 8 St - NY Aquarium,57,40.576727,Q,N,D42-Q-N,D42-Q-N
1199,D43,1,Bk,D F N Q,-73.981233,Coney Island - Stillwell Av,58,40.578621999999996,D,N,D43-D-N,D43-D-N
1200,D43,2,Bk,D F N Q,-73.980633,Coney Island - Stillwell Av,58,40.578022,F,N,D43-F-N,D43-F-N
1201,D43,3,Bk,D F N Q,-73.981233,Coney Island - Stillwell Av,58,40.577422,N,N,D43-N-N,D43-N-N
1202,D43,4,Bk,D F N Q,-73.98183300000001,Coney Island - Stillwell Av,58,40.578022,Q,N,D43-Q-N,D43-Q-N
1203,E01,1,M,E,-74.009781,World Trade Center,624,40.713781999999995,E,N,E01-E-N,E01-E-N
1204,F01,1,Q,F,-73.783817,Jamaica - 179 St,254,40.713846,F,N,F01-F-N,F01-F-N
1205,F02,1,Q,F,-73.793604,169 St,255,40.71167,F,N,F02-F-N,F02-F-N
1206,F03,1,Q,F,-73.803326,Parsons Blvd,256,40.708763999999995,F,N,F03-F-N,F03-F-N
1207,F04,1,Q,F,-73.810708,Sutphin Blvd,257,40.70666,F,N,F04-F-N,F04-F-N
1208,F05,1,Q,E F,-73.820574,Briarwood - Van Wyck Blvd,258,40.710378999999996,E,N,F05-E-N,F05-E-N
1209,F05,2,Q,E F,-73.81997399999999,Briarwood - Van Wyck Blvd,258,40.709779,F,N,F05-F-N,F05-F-N
1210,F06,1,Q,E F,-73.831008,Kew Gardens - Union Tpke,259,40.715641,E,N,F06-E-N,F06-E-N
