,station_id,station_line,lat,Complex ID,name,lines,boro,long,line_,dir,pf_id,node_id
1928,B17,station,40.619589,64,71 St,,Bk,-73.998864,D,station,station,B17
1929,B14,station,40.63626,61,50 St,,Bk,-73.994791,D,station,station,B14
1930,B15,station,40.631435,62,55 St,,Bk,-73.995476,D,station,station,B15
1931,B12,station,40.646292,59,9 Av,,Bk,-73.994324,D,station,station,B12
1932,B13,station,40.640914,60,Fort Hamilton Pkwy,,Bk,-73.994304,D,station,station,B13
1933,B10,station,40.763972,224,57 St,,M,-73.97745,F,station,station,B10
1934,B18,station,40.613501,65,79 St,,Bk,-74.00061,D,station,station,B18
1935,B19,station,40.607954,66,18 Av,,Bk,-74.001736,D,station,station,B19
1936,L21,station,40.682829,131,Bushwick Av - Aberdeen St,,Bk,-73.905249,L,station,station,L21
1937,L20,station,40.688764,130,Wilson Av,,Bk,-73.904046,L IBX,station,station,L20
1938,L22,station,40.678856,621,Broadway Jct,,Bk,-73.90324,L,station,station,L22
1939,L25,station,40.669367,134,Sutter Av,,Bk,-73.901975,L,station,station,L25
1940,L24,station,40.675345,133,Atlantic Av,,Bk,-73.903097,L IBX,station,station,L24
1941,L27,station,40.658733,136,New Lots Av,,Bk,-73.899232,L,station,station,L27
1942,J19,station,40.689941,86,Cypress Hills,,Bk,-73.87255,J,station,station,J19
1943,J16,station,40.692435,84,85 St - Forest Pkwy,,Q,-73.86001,J,station,station,J16
1944,J17,station,40.691324,85,75 St,,Q,-73.867139,J Z,station,station,J17
1945,J14,station,40.695178,82,104 St,,Q,-73.84433,J Z,station,station,J14
1946,J15,station,40.693879,83,Woodhaven Blvd,,Q,-73.851576,J Z,station,station,J15
1947,J12,station,40.700492,80,121 St,,Q,-73.828294,J Z,station,station,J12
1948,J13,station,40.697418,81,111 St,,Q,-73.836345,J,station,station,J13
1949,D29,station,40.644031,45,Beverley Rd,,Bk,-73.964492,B Q,station,station,D29
1950,D28,station,40.650527,44,Church Av,,Bk,-73.962982,B Q,station,station,D28
1951,D21,station,40.725297,619,Broadway-Lafayette St,,M,-73.996204,B D F M,station,station,D21
1952,D20,station,40.732338,167,W 4 St,,M,-74.000495,B D F M,station,station,D20
1953,D22,station,40.718267,231,Grand St,,M,-73.993753,B D,station,station,D22
1954,D25,station,40.67705,41,7 Av,,Bk,-73.972367,B Q,station,station,D25
1955,D24,station,40.68446,617,Atlantic Av - Barclays Ctr,,Bk,-73.97689,B Q,station,station,D24
1956,D27,station,40.655292,43,Parkside Av,,Bk,-73.961495,B Q,station,station,D27
1957,D26,station,40.661614,42,Prospect Park,,Bk,-73.962246,B Q,station,station,D26
1958,229,station,40.709416,628,Fulton St,,M,-74.006571,2 3,station,station,229
1959,228,station,40.713051,624,Park Pl,,M,-74.008811,2 3,station,station,228
1960,227,station,40.799075,441,Central Park North (110 St),,M,-73.951822,2 3,station,station,227
1961,226,station,40.802098,440,116 St,,M,-73.949625,2 3,station,station,226
1962,225,station,40.807754,439,125 St,,M,-73.945495,2 3,station,station,225
1963,224,station,40.814229,438,135 St,,M,-73.94077,2 3,station,station,224
1964,222,station,40.81841,603,149 St - Grand Concourse,,Bx,-73.926718,2 5,station,station,222
1965,221,station,40.816109,434,3 Av - 149 St,,Bx,-73.917757,2 5,station,station,221
1966,220,station,40.81649,433,Jackson Av,,Bx,-73.907807,2 5,station,station,220
1967,S01,station,40.680596,627,Franklin Av,,Bk,-73.955827,S,station,station,S01
